num_pce;ard_date_releve;ard_type_releve;ard_raison_releve_externe;ard_libelle_raison_releve_externe;ard_raison_releve;ard_libelle_raison_releve;ard_qualite_releve;ard_mode_acquisition;ard_methode_estimation;ard_source_releve;ard_statut_releve;ard_index_brut_valeur_index;ard_index_brut_horodate_index;ard_index_converti_valeur_index;ard_index_converti_horodate_index;arf_date_releve;arf_type_releve;arf_raison_releve_externe;arf_libelle_raison_releve_externe;arf_raison_releve;arf_libelle_raison_releve;arf_qualite_releve;arf_mode_acquisition;arf_methode_estimation;arf_source_releve;arf_statut_releve;arf_index_brut_valeur_index;arf_index_brut_horodate_index;arf_index_converti_valeur_index;arf_index_converti_horodate_index;date_debut_consommation;date_fin_consommation;journee_gaziere;nb_jours_gaziers;coef_pta;valeur_pcs;coef_conversion;volume_converti;flag_retour_zero;volume_brut;energie;sens;type_qualif_conso;qualite_qualif_conso;statut_qualif_conso;statut_conso;type_conso;pas_conso;date_derniere_modif_mesure;frequence_releve;date_debut_bordereau;date_fin_bordereau;date_publication_bordereau;eca_date_creation;eca_date_update;agregat
1,10014E+12;2022-01-11T06:00:00.000+0000;95;;;;;76;11;89;11;6;5282.3748338000005;2022-01-11T06:00:00.000+0000;;;2022-01-12T06:00:00.000+0000;95;;;;;76;11;89;11;6;5390.2300000000005;2022-01-12T06:00:00.000+0000;5293.098055400001;;2022-01-11T06:00:00.000+0000;2022-01-12T06:00:00.000+0000;2022-01-11T00:00:00.000+0000;;0.98198;10.335;10.1487633;0;false;10.92;110.824495;80;76;76;6;84;82;85;2022-02-03T11:16:40.000+0000;90;;;;2022-02-16T15:49:23.000+0000;2022-02-16T15:49:23.000+0000;
1,10014E+12;2022-01-12T06:00:00.000+0000;95;;;;;76;11;89;11;6;5293.098055400001;2022-01-12T06:00:00.000+0000;;;2022-01-13T06:00:00.000+0000;95;;;;;76;11;89;11;6;5401.01;2022-01-13T06:00:00.000+0000;5303.6837998;;2022-01-12T06:00:00.000+0000;2022-01-13T06:00:00.000+0000;2022-01-12T00:00:00.000+0000;;0.98198;10.335;10.1487633;0;false;10.78;109.403668;80;76;76;6;84;82;85;2022-02-03T11:16:40.000+0000;90;;;;2022-02-16T15:49:23.000+0000;2022-02-16T15:49:23.000+0000;
1,10014E+12;2022-01-13T06:00:00.000+0000;95;;;;;76;11;89;11;6;5303.6837998;2022-01-13T06:00:00.000+0000;;;2022-01-14T06:00:00.000+0000;95;;;;;76;11;89;11;6;5411.79;2022-01-14T06:00:00.000+0000;5314.2695441999995;;2022-01-13T06:00:00.000+0000;2022-01-14T06:00:00.000+0000;2022-01-13T00:00:00.000+0000;;0.98198;10.335;10.1487633;0;false;10.78;109.403668;80;76;76;6;84;82;85;2022-02-03T11:16:40.000+0000;90;;;;2022-02-16T15:49:23.000+0000;2022-02-16T15:49:23.000+0000;
1,10014E+12;2022-01-14T06:00:00.000+0000;95;;;;;76;11;89;11;6;5314.2695441999995;2022-01-14T06:00:00.000+0000;;;2022-01-15T06:00:00.000+0000;95;;;;;76;11;89;11;6;5421.6900000000005;2022-01-15T06:00:00.000+0000;5323.9911462;;2022-01-14T06:00:00.000+0000;2022-01-15T06:00:00.000+0000;2022-01-14T00:00:00.000+0000;;0.98198;10.335;10.1487633;0;false;9.9;100.472756;80;76;76;6;84;82;85;2022-02-03T11:16:40.000+0000;90;;;;2022-02-16T15:49:23.000+0000;2022-02-16T15:49:23.000+0000;
1,10014E+12;2022-01-15T06:00:00.000+0000;95;;;;;76;11;89;11;6;5323.9911462;2022-01-15T06:00:00.000+0000;;;2022-01-16T06:00:00.000+0000;95;;;;;76;11;89;11;6;5432.6900000000005;2022-01-16T06:00:00.000+0000;5334.792926200001;;2022-01-15T06:00:00.000+0000;2022-01-16T06:00:00.000+0000;2022-01-15T00:00:00.000+0000;;0.98198;10.335;10.1487633;0;false;11;111.636396;80;76;76;6;84;82;85;2022-02-03T11:16:40.000+0000;90;;;;2022-02-16T15:49:23.000+0000;2022-02-16T15:49:23.000+0000;
1,10014E+12;2022-01-16T06:00:00.000+0000;95;;;;;76;11;89;11;6;5334.792926200001;2022-01-16T06:00:00.000+0000;;;2022-01-17T06:00:00.000+0000;95;;;;;76;11;89;11;6;5442.66;2022-01-17T06:00:00.000+0000;5344.583266799999;;2022-01-16T06:00:00.000+0000;2022-01-17T06:00:00.000+0000;2022-01-16T00:00:00.000+0000;;0.98198;10.335;10.1487633;0;false;9.97;101.18317;80;76;76;6;84;82;85;2022-02-03T11:16:40.000+0000;90;;;;2022-02-16T15:49:23.000+0000;2022-02-16T15:49:23.000+0000;
1,10014E+12;2022-01-17T06:00:00.000+0000;95;;;;;76;11;89;11;6;5344.583266799999;2022-01-17T06:00:00.000+0000;;;2022-01-18T06:00:00.000+0000;95;;;;;76;11;89;11;6;5452.51;2022-01-18T06:00:00.000+0000;5354.2557698;;2022-01-17T06:00:00.000+0000;2022-01-18T06:00:00.000+0000;2022-01-17T00:00:00.000+0000;;0.98198;10.335;10.1487633;0;false;9.85;99.965318;80;76;76;6;84;82;85;2022-02-03T11:16:40.000+0000;90;;;;2022-02-16T15:49:23.000+0000;2022-02-16T15:49:23.000+0000;
1,10014E+12;2022-01-18T06:00:00.000+0000;95;;;;;76;11;89;11;6;5354.2557698;2022-01-18T06:00:00.000+0000;;;2022-01-19T06:00:00.000+0000;95;;;;;76;11;89;11;6;5462.42;2022-01-19T06:00:00.000+0000;5363.9871916;;2022-01-18T06:00:00.000+0000;2022-01-19T06:00:00.000+0000;2022-01-18T00:00:00.000+0000;;0.98198;10.335;10.1487633;0;false;9.91;100.574244;80;76;76;6;84;82;85;2022-02-03T11:16:40.000+0000;90;;;;2022-02-16T15:49:23.000+0000;2022-02-16T15:49:23.000+0000;
1,10014E+12;2022-01-19T06:00:00.000+0000;95;;;;;76;11;89;11;6;5363.9871916;2022-01-19T06:00:00.000+0000;;;2022-01-20T06:00:00.000+0000;95;;;;;76;11;89;11;6;5472.45;2022-01-20T06:00:00.000+0000;5373.836450999999;;2022-01-19T06:00:00.000+0000;2022-01-20T06:00:00.000+0000;2022-01-19T00:00:00.000+0000;;0.98198;10.335;10.1487633;0;false;10.03;101.792095;80;76;76;6;84;82;85;2022-02-03T11:16:41.000+0000;90;;;;2022-02-16T15:49:23.000+0000;2022-02-16T15:49:23.000+0000;
1,10014E+12;2022-01-20T06:00:00.000+0000;95;;;;;76;11;89;11;6;5373.836450999999;2022-01-20T06:00:00.000+0000;;;2022-01-21T06:00:00.000+0000;95;;;;;76;11;89;11;6;5483.29;2022-01-21T06:00:00.000+0000;5384.4811142;;2022-01-20T06:00:00.000+0000;2022-01-21T06:00:00.000+0000;2022-01-20T00:00:00.000+0000;;0.98198;10.335;10.1487633;0;false;10.84;110.012594;80;76;76;6;84;82;85;2022-02-03T11:16:41.000+0000;90;;;;2022-02-16T15:49:23.000+0000;2022-02-16T15:49:23.000+0000;
1,10014E+12;2022-01-21T06:00:00.000+0000;95;;;;;76;11;89;11;6;5384.4811142;2022-01-21T06:00:00.000+0000;;;2022-01-22T06:00:00.000+0000;95;;;;;76;11;89;11;6;5493.17;2022-01-22T06:00:00.000+0000;5394.1830766;;2022-01-21T06:00:00.000+0000;2022-01-22T06:00:00.000+0000;2022-01-21T00:00:00.000+0000;;0.98198;10.335;10.1487633;0;false;9.88;100.269781;80;76;76;6;84;82;85;2022-02-03T11:16:41.000+0000;90;;;;2022-02-16T15:49:23.000+0000;2022-02-16T15:49:23.000+0000;
1,10014E+12;2022-01-22T06:00:00.000+0000;95;;;;;76;11;89;11;6;5394.1830766;2022-01-22T06:00:00.000+0000;;;2022-01-23T06:00:00.000+0000;95;;;;;76;11;89;11;6;5503.12;2022-01-23T06:00:00.000+0000;5403.9537776;;2022-01-22T06:00:00.000+0000;2022-01-23T06:00:00.000+0000;2022-01-22T00:00:00.000+0000;;0.98198;10.335;10.1487633;0;false;9.950000000000001;100.980194;80;76;76;6;84;82;85;2022-02-03T11:16:41.000+0000;90;;;;2022-02-16T15:49:23.000+0000;2022-02-16T15:49:23.000+0000;
1,10014E+12;2022-01-23T06:00:00.000+0000;95;;;;;76;11;89;11;6;5403.9537776;2022-01-23T06:00:00.000+0000;;;2022-01-24T06:00:00.000+0000;95;;;;;76;11;89;11;6;5512.16;2022-01-24T06:00:00.000+0000;5412.8308768;;2022-01-23T06:00:00.000+0000;2022-01-24T06:00:00.000+0000;2022-01-23T00:00:00.000+0000;;0.98198;10.335;10.1487633;0;false;9.040000000000001;91.74481999999999;80;76;76;6;84;82;85;2022-02-03T11:16:41.000+0000;90;;;;2022-02-16T15:49:23.000+0000;2022-02-16T15:49:23.000+0000;
1,10014E+12;2022-01-24T06:00:00.000+0000;95;;;;;76;11;89;11;6;5412.8308768;2022-01-24T06:00:00.000+0000;;;2022-01-25T06:00:00.000+0000;95;;;;;76;11;89;11;6;5522.99;2022-01-25T06:00:00.000+0000;5423.4657202;;2022-01-24T06:00:00.000+0000;2022-01-25T06:00:00.000+0000;2022-01-24T00:00:00.000+0000;;0.98198;10.335;10.1487633;0;false;10.83;109.911106;80;76;76;6;84;82;85;2022-02-03T11:16:41.000+0000;90;;;;2022-02-16T15:49:23.000+0000;2022-02-16T15:49:23.000+0000;
1,10014E+12;2022-01-25T06:00:00.000+0000;95;;;;;76;11;89;11;6;5423.4657202;2022-01-25T06:00:00.000+0000;;;2022-01-26T06:00:00.000+0000;95;;;;;76;11;89;11;6;5534.7;2022-01-26T06:00:00.000+0000;5434.964706;;2022-01-25T06:00:00.000+0000;2022-01-26T06:00:00.000+0000;2022-01-25T00:00:00.000+0000;;0.98198;10.335;10.1487633;0;false;11.71;118.842018;80;76;76;6;84;82;85;2022-02-03T11:16:41.000+0000;90;;;;2022-02-16T15:49:23.000+0000;2022-02-16T15:49:23.000+0000;
1,10014E+12;2022-01-26T06:00:00.000+0000;95;;;;;76;11;89;11;6;5434.964706;2022-01-26T06:00:00.000+0000;;;2022-01-27T06:00:00.000+0000;95;;;;;76;11;89;11;6;5545.57;2022-01-27T06:00:00.000+0000;5445.638828599999;;2022-01-26T06:00:00.000+0000;2022-01-27T06:00:00.000+0000;2022-01-26T00:00:00.000+0000;;0.98198;10.335;10.1487633;0;false;10.870000000000001;110.317057;80;76;76;6;84;82;85;2022-02-03T11:16:41.000+0000;90;;;;2022-02-16T15:49:23.000+0000;2022-02-16T15:49:23.000+0000;
1,10014E+12;2022-01-27T06:00:00.000+0000;95;;;;;76;11;89;11;6;5445.638828599999;2022-01-27T06:00:00.000+0000;;;2022-01-28T06:00:00.000+0000;95;;;;;76;11;89;11;6;5554.57;2022-01-28T06:00:00.000+0000;5454.4766486;;2022-01-27T06:00:00.000+0000;2022-01-28T06:00:00.000+0000;2022-01-27T00:00:00.000+0000;;0.98198;10.335;10.1487633;0;false;9;91.338869;80;76;76;6;84;82;85;2022-02-03T11:16:41.000+0000;90;;;;2022-02-16T15:49:23.000+0000;2022-02-16T15:49:23.000+0000;
1,10014E+12;2022-01-28T06:00:00.000+0000;95;;;;;76;11;89;11;6;5454.4766486;2022-01-28T06:00:00.000+0000;;;2022-01-29T06:00:00.000+0000;95;;;;;76;11;89;11;6;5562.6;2022-01-29T06:00:00.000+0000;5462.361948;;2022-01-28T06:00:00.000+0000;2022-01-29T06:00:00.000+0000;2022-01-28T00:00:00.000+0000;;0.98198;10.335;10.1487633;0;false;8.03;81.494569;80;76;76;6;84;82;85;2022-02-03T11:16:41.000+0000;90;;;;2022-02-16T15:49:23.000+0000;2022-02-16T15:49:23.000+0000;
1,10014E+12;2022-01-29T06:00:00.000+0000;95;;;;;76;11;89;11;6;5462.361948;2022-01-29T06:00:00.000+0000;;;2022-01-30T06:00:00.000+0000;95;;;;;76;11;89;11;6;5569.76;2022-01-30T06:00:00.000+0000;5469.3929248;;2022-01-29T06:00:00.000+0000;2022-01-30T06:00:00.000+0000;2022-01-29T00:00:00.000+0000;;0.98198;10.335;10.1487633;0;false;7.16;72.665145;80;76;76;6;84;82;85;2022-02-03T11:16:41.000+0000;90;;;;2022-02-16T15:49:23.000+0000;2022-02-16T15:49:23.000+0000;
1,10014E+12;2022-01-30T06:00:00.000+0000;95;;;;;76;11;89;11;6;5469.3929248;2022-01-30T06:00:00.000+0000;;;2022-01-31T06:00:00.000+0000;95;;;;;76;11;89;11;6;5577.92;2022-01-31T06:00:00.000+0000;5477.4058816;;2022-01-30T06:00:00.000+0000;2022-01-31T06:00:00.000+0000;2022-01-30T00:00:00.000+0000;;0.98198;10.335;10.1487633;0;false;8.16;82.813908;80;76;76;6;84;82;85;2022-02-03T11:16:41.000+0000;90;;;;2022-02-16T15:49:23.000+0000;2022-02-16T15:49:23.000+0000;
1,10014E+12;2022-01-31T06:00:00.000+0000;95;;;;;76;11;89;11;6;5477.4058816;2022-01-31T06:00:00.000+0000;;;2022-02-01T06:00:00.000+0000;95;;;;;76;11;89;11;6;5587.17;2022-02-01T06:00:00.000+0000;5486.4891966;;2022-01-31T06:00:00.000+0000;2022-02-01T06:00:00.000+0000;2022-01-31T00:00:00.000+0000;;0.98198;10.335;10.1487633;0;false;9.25;93.87606;80;76;76;6;84;82;85;2022-02-03T11:16:40.000+0000;90;;;;2022-02-16T15:49:23.000+0000;2022-02-16T15:49:23.000+0000;
1,10014E+12;2022-02-01T06:00:00.000+0000;95;;;;;76;11;89;11;6;5486.4891966;2022-02-01T06:00:00.000+0000;;;2022-02-02T06:00:00.000+0000;95;;;;;76;11;89;11;6;5595.900000000001;2022-02-02T06:00:00.000+0000;5434.010613;;2022-02-01T06:00:00.000+0000;2022-02-02T06:00:00.000+0000;2022-02-01T00:00:00.000+0000;;0.97107;9.766;9.48346962;0;false;8.73;82.790689;80;76;76;6;83;82;85;2022-02-02T21:41:56.000+0000;90;;;;2022-02-16T13:28:32.000+0000;2022-02-16T13:28:32.000+0000;
1,10014E+12;2022-02-02T06:00:00.000+0000;95;;;;;76;11;89;11;6;5434.010613;2022-02-02T06:00:00.000+0000;;;2022-02-02T06:00:00.000+0000;95;;;;;76;11;89;11;6;5595.900000000001;2022-02-02T06:00:00.000+0000;5495.061882;;2022-02-01T06:00:00.000+0000;2022-02-02T06:00:00.000+0000;2022-02-01T00:00:00.000+0000;;0.98198;10.335;10.1487633;0;false;8.73;88.598703;80;76;76;6;84;82;85;2022-02-03T11:16:41.000+0000;90;;;;2022-02-16T15:49:23.000+0000;2022-02-16T15:49:23.000+0000;
1,10014E+12;2022-02-02T06:00:00.000+0000;95;;;;;76;11;89;11;6;5495.061882;2022-02-02T06:00:00.000+0000;;;2022-02-03T06:00:00.000+0000;95;;;;;76;11;89;11;6;5601.74;2022-02-03T06:00:00.000+0000;5439.681661799999;;2022-02-02T06:00:00.000+0000;2022-02-03T06:00:00.000+0000;2022-02-02T00:00:00.000+0000;;0.97107;9.766;9.48346962;0;false;5.84;55.383461999999994;80;76;76;6;83;82;85;2022-02-03T19:00:11.000+0000;90;;;;2022-02-16T15:49:23.000+0000;2022-02-16T15:49:23.000+0000;
